Year,Block,ALAL,AMDU,ASNU,BAMU,BRRU,CAFL,CORA,CYAC,DEPI,DF,DG,DS,ERCI,KRAME,KRER,KRGR,L,LATR,NONE,OTHER,SCAR,THMO,YUBR,WL,ACSP,LELA,litter
2015,1,0.0,0.20380434782608695,0.4755434782608696,0.0,3.192934782608696,0.0,0.6114130434782609,0.033967391304347824,0.985054347826087,0.0,0.0,0.6453804347826086,0.3736413043478261,0.1358695652173913,0.0,0.0,0.06793478260869565,0.3736413043478261,84.81657608695652,0.20380434782608695,7.404891304347825,0.16983695652173914,0.30570652173913043,0.0,0.0,0.0,0.0
2015,2,0.0,0.6802721088435374,0.6802721088435374,0.13605442176870747,3.2653061224489797,0.03401360544217687,0.6122448979591837,0.13605442176870747,1.3945578231292517,0.0,0.0,0.5782312925170068,0.0,0.3401360544217687,0.0,0.06802721088435373,0.0,1.0204081632653061,82.07482993197279,0.4761904761904762,8.299319727891156,0.0,0.20408163265306123,0.0,0.0,0.0,0.0
2015,3,0.0,0.8951406649616368,0.7352941176470588,0.0639386189258312,3.3887468030690537,0.0,0.5434782608695652,0.1278772378516624,1.7583120204603582,0.0319693094629156,0.159846547314578,0.7992327365728901,0.1918158567774936,0.2237851662404092,0.0639386189258312,0.0,0.0,1.6304347826086956,79.41176470588235,0.3516624040920716,9.271099744245523,0.0639386189258312,0.2877237851662404,0.0,0.0,0.0,0.0
2015,4,0.06802721088435373,0.5102040816326531,1.3265306122448979,0.0,2.0068027210884356,0.0,0.6462585034013605,0.0,0.40816326530612246,0.0,0.10204081632653061,1.2244897959183674,0.17006802721088435,0.30612244897959184,0.03401360544217687,0.0,0.03401360544217687,0.6122448979591837,82.00680272108843,0.3401360544217687,9.319727891156463,0.3401360544217687,0.5442176870748299,0.0,0.0,0.0,0.0
2015,5,0.036231884057971016,0.6884057971014492,1.1594202898550725,0.0,1.0869565217391304,0.0,1.0507246376811594,0.07246376811594203,0.18115942028985507,0.0,0.0,0.39855072463768115,0.0,0.39855072463768115,0.07246376811594203,0.036231884057971016,0.0,0.9057971014492754,83.22463768115942,0.21739130434782608,9.746376811594203,0.14492753623188406,0.5797101449275363,0.0,0.0,0.0,0.0
2016,1,1.0544217687074828,0.37414965986394555,0.17006802721088435,0.06802721088435373,4.45578231292517,0.10204081632653061,0.7142857142857143,0.13605442176870747,0.0,0.06802721088435373,0.06802721088435373,0.9183673469387756,1.0544217687074828,0.0,0.0,0.0,0.0,0.44217687074829937,80.57823129251702,0.8163265306122449,8.231292517006802,0.27210884353741494,0.4761904761904762,0.0,0.0,0.0,0.0
2016,2,1.154891304347826,0.577445652173913,0.3736413043478261,0.033967391304347824,7.506793478260869,0.06793478260869565,1.0869565217391304,0.033967391304347824,0.10190217391304347,0.30570652173913043,2.717391304347826,0.985054347826087,1.188858695652174,0.1358695652173913,0.0,0.0,0.033967391304347824,1.2228260869565217,74.93206521739131,0.4755434782608696,6.657608695652175,0.10190217391304347,0.30570652173913043,0.0,0.0,0.0,0.0
2016,3,1.3926630434782608,0.6114130434782609,0.1358695652173913,0.0,7.065217391304348,0.0,0.6453804347826086,0.033967391304347824,0.0,0.10190217391304347,1.6644021739130437,1.1209239130434783,0.8152173913043478,0.2717391304347826,0.0,0.0,0.0,1.2567934782608696,74.62635869565217,0.6453804347826086,9.103260869565217,0.033967391304347824,0.4755434782608696,0.0,0.0,0.0,0.0
2016,4,0.16983695652173914,0.8831521739130435,0.1358695652173913,0.0,3.057065217391304,0.033967391304347824,1.2907608695652173,0.033967391304347824,0.0,0.06793478260869565,0.985054347826087,1.2907608695652173,0.9171195652173914,0.30570652173913043,0.0,0.0,0.0,1.0190217391304348,79.58559782608695,0.7133152173913043,8.220108695652174,0.44157608695652173,0.8491847826086956,0.0,0.0,0.0,0.0
2016,5,0.10190217391304347,1.0190217391304348,0.30570652173913043,0.0,3.057065217391304,0.0,0.78125,0.10190217391304347,0.0,0.0,0.577445652173913,1.188858695652174,0.4755434782608696,0.44157608695652173,0.0,0.0,0.0,0.9510869565217392,79.95923913043478,0.6114130434782609,9.748641304347826,0.1358695652173913,0.44157608695652173,0.10190217391304347,0.0,0.0,0.0
